"strain","ST","meropenem_MIC","meropenem.RSI.","Country","Latitude","Longitude","Year","Month","Day","meropenem_MIC_clean"
"ERR1374907","ST101","0.12","S","Serbia",45.2540938,19.8242551,2013,12,1,0.12
"ERR1374908","ST101","0.12","S","Serbia",45.2540938,19.8242551,2014,2,11,0.12
"ERR1374910","ST101","1","S","Serbia",44.7994012,20.4622869,2013,12,16,1
"ERR1374914","ST3664","≤0.06","S","Luxembourg",49.6187253,6.1011013,2013,12,5,0.06
"ERR1374915","ST392","0.5","S","Luxembourg",49.5010414,5.9834258,2014,4,30,0.5
"ERR1374917","ST584","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,1,8,0.06
"ERR1374918","ST147","16","R","Luxembourg",49.6326375,6.1761763,2014,4,30,16
"ERR1374920","ST427","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,1,13,0.06
"ERR1374921","ST45","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,1,29,0.06
"ERR1374922","ST427","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,2,14,0.06
"ERR1374923","ST45","0.12","S","Luxembourg",49.6326375,6.1761763,2014,2,13,0.12
"ERR1374924","ST35","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,2,23,0.06
"ERR1374926","ST395","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,3,7,0.06
"ERR1374928","ST37","32","R","Luxembourg",49.6326375,6.1761763,2014,3,11,32
"ERR1374929","ST427","≤0.06","S","Luxembourg",49.5010414,5.9834258,2014,3,20,0.06
"ERR1374931","ST13","≤0.06","S","Cyprus",35.1666667,33.3666667,2014,4,23,0.06
"ERR1374936","ST258","≤0.06","S","United Kingdom (Scotland)",55.863898,-4.2368302,2013,11,4,0.06
"ERR1374947","ST502","≤0.06","S","United Kingdom (Scotland)",55.863898,-4.2368302,2014,1,23,0.06
"ERR1374954","ST873","0.12","S","United Kingdom (Scotland)",55.8652473,-4.3374448,2014,4,29,0.12
"ERR1374963","ST3672","0.12","S","United Kingdom (Scotland)",55.9219286,-3.1350953,2014,1,29,0.12
"ERR1374975","ST101","≤0.06","S","Slovenia",46.051047,14.521133,2013,11,3,0.06
"ERR1374978","ST437","2","S","Slovenia",45.930204,13.640835,2014,1,6,2
"ERR1374980","ST5","≤0.06","S","Slovenia",46.053646,14.521342,2014,1,28,0.06
"ERR1374989","ST247","≤0.06","S","Slovenia",46.234649,15.262595,2014,4,11,0.06
"ERR1374993","ST307","1","S","Slovenia",46.051047,14.521133,2013,11,25,1
"ERR1374994","ST35","2","S","Slovenia",46.053646,14.521342,2013,11,26,2
"ERR1374995","ST343","≤0.06","S","Slovenia",46.051047,14.521133,2013,12,2,0.06
"ERR1375002","ST3683","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",50.2662548,-5.0938097,2014,1,25,0.06
"ERR1375004","ST873","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2014,1,23,0.06
"ERR1375008","ST1593","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.4875447,-2.3234243,2014,3,16,0.06
"ERR1375016","ST327","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.4088246,-1.4608313,2013,11,8,0.06
"ERR1375017","ST678","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.4088246,-1.4608313,2014,3,13,0.06
"ERR1375020","ST405","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",50.8385975,-0.1482968,2014,4,30,0.06
"ERR1375021","ST3682","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2014,1,7,0.06
"ERR1375022","ST922","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2014,1,6,0.06
"ERR1375031","ST17","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",55.002411,-1.593673,2013,11,26,0.06
"ERR1375035","ST45","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",52.4871309,-1.9310923,2014,5,22,0.06
"ERR1375037","ST37","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",51.8659834,-2.236719,2014,5,27,0.06
"ERR1375039","ST968","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",51.5526834,-0.1650921,2014,5,22,0.06
"ERR1375043","ST25","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",51.9228132,-0.2122641,2014,2,7,0.06
"ERR1415458","ST17","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",54.587403,-5.9416668,2014,4,3,0.06
"ERR1415459","ST25","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",54.587403,-5.9416668,2014,4,5,0.06
"ERR1415467","ST1015","≤0.06","S","Romania",44.4655904,26.155947,2014,4,9,0.06
"ERR1415471","ST1408","≤0.06","S","Romania",44.436154,26.071908,2014,3,7,0.06
"ERR1415475","ST37","≤0.06","S","Romania",44.4518265,26.0912848,2014,2,11,0.06
"ERR1415479","ST37","≤0.06","S","Romania",44.4518265,26.0912848,2014,2,1,0.06
"ERR1415486","ST147","32","R","Romania",44.436154,26.071908,2014,2,3,32
"ERR1415488","ST505","≤0.06","S","Romania",44.4285496,26.1386341,2013,11,15,0.06
"ERR1415492","ST3667","≤0.06","S","Romania",44.4518265,26.0912848,2013,12,4,0.06
"ERR1415499","ST147","≤0.06","S","Romania",44.4285496,26.1386341,2013,12,13,0.06
"ERR1415515","ST1593","0.12","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2013,11,9,0.12
"ERR1415518","ST73","0.12","S","United Kingdom (England, Wales & N. Ireland)",50.2662548,-5.0938097,2013,11,7,0.12
"ERR1415524","ST2333","2","S","United Kingdom (England, Wales & N. Ireland)",55.002411,-1.593673,2013,11,26,2
"ERR1415529","ST25","0.12","S","United Kingdom (England, Wales & N. Ireland)",52.7068433,-2.7885173,2013,12,10,0.12
"ERR1415536","ST336","4","I","United Kingdom (England, Wales & N. Ireland)",51.515165,-0.063957,2014,1,8,4
"ERR1415539","ST461","2","S","United Kingdom (England, Wales & N. Ireland)",53.4875447,-2.3234243,2014,1,13,2
"ERR1415542","ST661","2","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2014,1,23,2
"ERR1415548","ST3393","0.25","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2014,2,14,0.25
"ERR1415552","ST3681","0.5","S","United Kingdom (England, Wales & N. Ireland)",52.4871309,-1.9310923,2014,2,25,0.5
"ERR1415574","ST449",">32","R","United Kingdom (England, Wales & N. Ireland)",53.4875447,-2.3234243,2014,4,24,48
"ERR1415578","ST107","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",52.7068433,-2.7885173,2013,12,10,0.06
"ERR1415580","ST307","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",52.7068433,-2.7885173,2014,1,1,0.06
"ERR1415581","ST3682","≤0.06","S","United Kingdom (England, Wales & N. Ireland)",53.8012601,-1.5527164,2013,12,16,0.06
"ERR1415582","ST3668","≤0.06","S","Romania",44.4518265,26.0912848,2013,12,5,0.06
"ERR1415586","ST147","0.12","S","Romania",44.4285496,26.1386341,2013,12,24,0.12
"ERR1415599","ST101","32","R","Romania",44.436154,26.071908,2014,2,28,32
"ERR1415604","ST307","≤0.06","S","Romania",44.454695,26.1154854,2013,11,22,0.06
"ERR1415610","ST1527","≤0.06","S","Romania",44.454695,26.1154854,2013,12,18,0.06
"ERR1415611","ST11","≤0.06","S","Romania",44.454695,26.1154854,2014,1,12,0.06
"ERR1415613","ST189","≤0.06","S","Romania",44.454695,26.1154854,2014,1,19,0.06
"ERR1415614","ST147","16","R","Romania",44.454695,26.1154854,2014,4,12,16
"ERR1415617","ST11","≤0.06","S","Romania",44.454695,26.1154854,2014,4,18,0.06
"ERR1415619","ST147","≤0.06","S","Romania",46.5562625,26.9107881,2013,12,3,0.06
"ERR1415623","ST25","≤0.06","S","Romania",46.5562625,26.9107881,2014,1,17,0.06
"ERR1415624","ST42","≤0.06","S","Romania",46.5562625,26.9107881,2014,1,20,0.06
"ERR1415625","ST25","≤0.06","S","Romania",46.5562625,26.9107881,2014,3,10,0.06
"ERR1415632","ST22","1","S","Romania",46.5562625,26.9107881,2014,4,28,1
"ERR1415635","ST8","≤0.06","S","Romania",46.5562625,26.9107881,2014,4,30,0.06
"ERR1415636","ST2286","≤0.06","S","Romania",44.4662036,26.0749253,2013,11,26,0.06
"ERR1415644","ST147","≤0.06","S","Romania",44.4662036,26.0749253,2013,12,10,0.06
"ERR1415648","ST3669","≤0.06","S","Romania",44.4662036,26.0749253,2013,12,12,0.06
"ERR1415665","ST437","0.5","S","Croatia",45.8343713,16.0358211,2014,4,21,0.5
"ERR1415666","ST437","2","S","Croatia",45.3324499,14.4246697,2014,3,13,2
"ERR1415668","ST437","8","I","Croatia",45.8297555,15.9801412,2013,11,4,8
"ERR1415670","ST322","≤0.06","S","Croatia",45.8153886,15.9536166,2014,1,16,0.06
"ERR1415671","ST11","≤0.06","S","Croatia",45.823818,16.0061151,2014,1,25,0.06
"ERR1415672","ST48","2","S","Croatia",45.5582882,18.6876075,2014,4,23,2
"ERR1415673","ST35","≤0.06","S","Croatia",45.8297555,15.9801412,2014,1,27,0.06
"ERR1415674","ST437","8","I","Croatia",43.5037301,16.4579764,2013,11,1,8
"ERR1415675","ST437","8","I","Croatia",45.8297555,15.9801412,2014,1,22,8
"ERR1415677","ST437","4","I","Croatia",45.823818,16.0061151,2013,11,4,4
"ERR1415678","ST437","≤0.06","S","Croatia",45.3324499,14.4246697,2014,4,22,0.06
"ERR1415681","ST437","≤0.06","S","Croatia",45.3324499,14.4246697,2014,4,24,0.06
"ERR1415682","ST25","≤0.06","S","Croatia",45.8297555,15.9801412,2014,2,21,0.06
"ERR1415683","ST163","≤0.06","S","Croatia",45.823818,16.0061151,2013,12,12,0.06
"ERR1415684","ST15","4","I","Croatia",45.823818,16.0061151,2013,12,18,4
"ERR1415685","ST1574","≤0.06","S","Croatia",45.823818,16.0061151,2013,12,29,0.06
"ERR1415687","ST37","≤0.06","S","Croatia",45.3324499,14.4246697,2014,5,12,0.06
"ERR1415689","ST15","≤0.06","S","Croatia",45.8343713,16.0358211,2014,1,3,0.06
"ERR1415692","ST15","≤0.06","S","Croatia",45.8153886,15.9536166,2014,1,19,0.06
"ERR1415693","ST15","2","S","Croatia",45.8297555,15.9801412,2014,3,6,2
"ERR1415696","ST437","1","S","Croatia",43.7339209,15.8994123,2014,4,19,1
"ERR1415699","ST437","0.12","S","Croatia",45.8297555,15.9801412,2014,3,17,0.12
"ERR1415704","ST218","≤0.06","S","Croatia",45.3324499,14.4246697,2014,1,20,0.06
"ERR1415705","ST629","≤0.06","S","Croatia",45.3324499,14.4246697,2014,1,20,0.06
"ERR1415707","ST37","≤0.06","S","Croatia",45.8343713,16.0358211,2013,11,4,0.06
"ERR1415709","ST101","0.12","S","Croatia",45.8987972,16.8423093,2014,1,27,0.12
"ERR1415710","ST485","≤0.06","S","Croatia",45.5582882,18.6876075,2014,5,14,0.06
"ERR1415711","ST437","4","I","Croatia",45.1563265,18.0258371,2013,11,18,4
"ERR1415713","ST437","4","I","Croatia",45.1563265,18.0258371,2013,11,25,4
"ERR1415714","ST14","≤0.06","S","Croatia",45.1563265,18.0258371,2014,1,25,0.06
"ERR1415715","ST437","4","I","Croatia",43.5037301,16.4579764,2014,3,3,4
"ERR1415717","ST437","≤0.06","S","Croatia",45.1563265,18.0258371,2013,12,2,0.06
"ERR1415718","ST437","2","S","Croatia",45.8343713,16.0358211,2013,12,15,2
"ERR1415721","ST405","≤0.06","S","Croatia",45.8343713,16.0358211,2013,12,19,0.06
"ERR1415723","ST437","0.25","S","Croatia",45.823818,16.0061151,2014,1,2,0.25
"ERR1415726","ST437","4","I","Croatia",45.8153886,15.9536166,2013,12,9,4
"ERR1415727","ST437","0.25","S","Croatia",45.823818,16.0061151,2014,3,28,0.25
"ERR1415728","ST49","≤0.06","S","Croatia",45.3324499,14.4246697,2013,11,7,0.06
"ERR1415731","ST15","1","S","Croatia",45.823818,16.0061151,2014,4,4,1
"ERR1415733","ST437","≤0.06","S","Croatia",45.3324499,14.4246697,2013,11,29,0.06
"ERR1415734","ST437","0.12","S","Croatia",45.3324499,14.4246697,2013,12,6,0.12
"ERR1415735","ST437","1","S","Croatia",45.8208349,15.9978627,2014,1,29,1
"ERR1415737","ST437","4","I","Croatia",45.8153886,15.9536166,2014,1,7,4
"ERR1415739","ST525","≤0.06","S","Croatia",45.8208349,15.9978627,2013,12,4,0.06
"ERR1415740","ST437","≤0.06","S","Croatia",45.823818,16.0061151,2014,1,17,0.06
"ERR1415741","ST437","0.5","S","Croatia",45.3324499,14.4246697,2014,2,16,0.5
"ERR1415744","ST17","≤0.06","S","Croatia",45.3324499,14.4246697,2014,2,19,0.06
"ERR1415746","ST25","≤0.06","S","Croatia",45.823818,16.0061151,2014,1,16,0.06
"ERR1415747","ST437","4","I","Croatia",43.5037301,16.4579764,2013,11,15,4
"ERR1415748","ST870","≤0.06","S","Croatia",43.5037301,16.4579764,2013,11,6,0.06
"ERR1415749","ST14","≤0.06","S","Croatia",43.5037301,16.4579764,2013,11,11,0.06
"ERR1415750","ST37","≤0.06","S","Croatia",43.5037301,16.4579764,2013,11,11,0.06
"ERR1415751","ST437","16","R","Croatia",45.8208349,15.9978627,2013,11,29,16
"ERR1415754","ST15","≤0.06","S","Serbia",44.8027132,20.4895062,2014,2,26,0.06
"ERR1415755","ST101","0.12","S","Serbia",44.8027132,20.4895062,2014,2,25,0.12
"ERR1415766","ST437","1","S","Serbia",45.2174098,19.8562217,2014,1,22,1
"ERR1415768","ST437",">32","R","Serbia",44.7994012,20.4622869,2013,12,12,48
"ERR1415769","ST101","0.12","S","Serbia",45.2174098,19.8562217,2014,2,26,0.12
"ERR1415770","ST29","≤0.06","S","Serbia",43.888908,20.35038,2014,3,11,0.06
"ERR1415771","ST14","≤0.06","S","Serbia",43.888908,20.35038,2014,3,12,0.06
"ERR1415773","ST437",">32","R","Serbia",43.3161569,21.913471,2014,3,21,48
"ERR1415777","ST101","0.25","S","Serbia",43.3161569,21.913471,2013,11,21,0.25
"ERR1415780","ST3670","0.12","S","Serbia",43.3161569,21.913471,2013,11,30,0.12
"ERR1415781","ST101",">32","R","Serbia",44.7994012,20.4622869,2014,1,14,48
"ERR1415784","ST340","0.25","S","Serbia",43.888908,20.35038,2014,1,15,0.25
"ERR1415786","ST101","0.25","S","Serbia",43.888908,20.35038,2014,1,16,0.25
"ERR1415794","ST101","0.12","S","Serbia",45.2540938,19.8242551,2013,11,24,0.12
"ERR1415801","ST101","1","S","Serbia",44.7771159,20.4605754,2014,1,28,1
"ERR1415804","ST3671","≤0.06","S","Serbia",43.3161569,21.913471,2013,11,12,0.06
"ERR1415805","ST3671","≤0.06","S","Serbia",43.3161569,21.913471,2013,11,14,0.06
"ERR1415815","ST340","0.25","S","Serbia",43.7261379,20.6909159,2013,11,15,0.25
"ERR1415820","ST101",">32","R","Serbia",44.0186285,20.9138938,2014,3,25,48
"ERR1415822","ST101",">32","R","Serbia",44.0186285,20.9138938,2014,3,25,48
"ERR1514846","ST321","0.12","S","Belgium",51.024891,3.725481,2014,2,10,0.12
"ERR1514848","ST3637","≤0.06","S","Belgium",51.024891,3.725481,2014,3,30,0.06
"ERR1514849","ST15","≤0.06","S","Belgium",51.024891,3.725481,2014,4,2,0.06
"ERR1514851","ST36","≤0.06","S","Belgium",51.16188,4.149313,2014,5,14,0.06
"ERR1514854","ST3638","≤0.06","S","Belgium",50.651987,5.575025,2014,6,5,0.06
"ERR1514858","ST230","≤0.06","S","Belgium",50.651987,5.575025,2014,6,4,0.06
"ERR1514859","ST307","≤0.06","S","Belgium",50.651987,5.575025,2014,6,4,0.06
"ERR1514860","ST15","≤0.06","S","Belgium",50.651987,5.575025,2014,6,5,0.06
"ERR1514862","ST405","≤0.06","S","Belgium",50.852768,4.452853,2013,12,9,0.06
"ERR1514864","ST45","≤0.06","S","Belgium",50.943547,4.055162,2014,5,22,0.06
"ERR1514865","ST20","≤0.06","S","Belgium",50.943547,4.055162,2014,5,23,0.06
"ERR1514866","ST485","≤0.06","S","Belgium",50.813785,4.265635,2013,11,19,0.06
"ERR1514867","ST234","≤0.06","S","Belgium",50.813785,4.265635,2013,12,1,0.06
"ERR1514870","ST1145","≤0.06","S","Belgium",50.813785,4.265635,2014,1,5,0.06
"ERR1514872","ST3639","≤0.06","S","Belgium",50.813785,4.265635,2014,3,22,0.06
"ERR1514873","ST215","≤0.06","S","Belgium",50.813785,4.265635,2014,4,6,0.06
"ERR1514874","ST101",">32","R","Belgium",50.813785,4.265635,2014,4,9,48
"ERR1514876","ST25","≤0.06","S","Belgium",50.813785,4.265635,2014,4,27,0.06
"ERR1514884","ST307","4","I","Belgium",50.888121,4.307432,2013,11,23,4
"ERR1514886","ST39","≤0.06","S","Belgium",50.888121,4.307432,2013,11,25,0.06
"ERR1514887","ST101","8","I","Belgium",50.888121,4.307432,2013,12,2,8
"ERR1514890","ST101","2","S","Belgium",50.888121,4.307432,2013,12,18,2
"ERR1514892","ST512","32","R","Belgium",50.572523,5.567129,2013,12,26,32
"ERR1514893","ST512","32","R","Belgium",50.572523,5.567129,2013,12,22,32
"ERR1514895","ST512","32","R","Belgium",50.572523,5.567129,2014,1,2,32
"ERR1514896","ST405","16","R","Belgium",50.943547,4.055162,2014,1,2,16
"ERR1514897","ST15","≤0.06","S","Belgium",50.651987,5.575025,2014,1,6,0.06
"ERR1514899","ST788","4","I","Belgium",50.572523,5.567129,2014,1,10,4
"ERR1514901","ST405","0.25","S","Belgium",51.024891,3.725481,2014,1,23,0.25
"ERR1514902","ST788","4","I","Belgium",50.572523,5.567129,2014,1,26,4
"ERR1514903","ST101","16","R","Belgium",50.888121,4.307432,2014,1,30,16
"ERR1514904","ST101","16","R","Belgium",50.888121,4.307432,2014,2,4,16
"ERR1514905","ST512",">32","R","Belgium",50.572523,5.567129,2014,2,5,48
"ERR1514906","ST70","≤0.06","S","Belgium",51.155,4.4122,2013,12,17,0.06
"ERR1514909","ST405","2","S","Belgium",51.16188,4.149313,2014,2,12,2
"ERR1514914","ST512","32","R","Belgium",50.651987,5.575025,2014,3,14,32
"ERR1514919","ST512",">32","R","Belgium",50.651987,5.575025,2014,3,10,48
"ERR1514920","ST405","2","S","Belgium",51.024891,3.725481,2014,3,14,2
"ERR1514921","ST11","2","S","Belgium",51.155,4.4122,2014,3,20,2
"ERR1514923","ST405","≤0.06","S","Belgium",50.572523,5.567129,2014,3,17,0.06
"ERR1514925","ST340","0.25","S","Serbia",43.7261379,20.6909159,2013,12,18,0.25
"ERR1514928","ST86","≤0.06","S","Serbia",44.7771159,20.4605754,2014,2,13,0.06
"ERR1514929","ST999","≤0.06","S","Serbia",44.7994012,20.4622869,2013,12,16,0.06
"ERR1514934","ST101","0.25","S","Serbia",43.888908,20.35038,2014,2,21,0.25
"ERR1514937","ST101","1","S","Serbia",44.7771159,20.4605754,2014,2,14,1
"ERR1514939","ST29","≤0.06","S","Serbia",44.7994012,20.4622869,2013,11,15,0.06
"ERR1514940","ST29","≤0.06","S","Serbia",44.7994012,20.4622869,2013,12,10,0.06
"ERR1514950","ST323","32","R","Ireland",53.339535,-6.295767,2013,11,28,32
"ERR1514951","ST133","2","S","Ireland",53.291701,-6.378733,2013,12,18,2
"ERR1514952","ST5","≤0.06","S","Ireland",53.27589,-9.066467,2014,1,9,0.06
"ERR1514955","ST643","≤0.06","S","Ireland",53.291701,-6.378733,2013,12,12,0.06
"ERR1514959","ST5","8","I","Ireland",53.27589,-9.066467,2014,1,24,8
"ERR1514960","ST1236","≤0.06","S","Ireland",53.27589,-9.066467,2014,1,28,0.06
"ERR1514961","ST11","32","R","Ireland",53.722336,-6.352844,2014,1,25,32
"ERR1514964","ST15","0.5","S","Ireland",51.883432,-8.512602,2014,2,17,0.5
"ERR1514971","ST15","≤0.06","S","Ireland",51.883432,-8.512602,2014,3,25,0.06
"ERR1514973","ST35","2","S","Ireland",52.634495,-8.65345,2014,4,11,2
"ERR1514981","ST14","≤0.06","S","Ireland",52.634495,-8.65345,2014,5,7,0.06
"ERR1514982","ST485","≤0.06","S","Ireland",52.634495,-8.65345,2014,5,10,0.06
"ERR1514984","ST1236","≤0.06","S","Ireland",52.634495,-8.65345,2014,1,28,0.06
"ERR1514985","ST48","0.12","S","Ireland",53.27589,-9.066467,2014,1,2,0.12
"ERR1514987","ST3636","≤0.06","S","Belgium",50.888121,4.307432,2013,11,17,0.06
"ERR1514990","ST29","≤0.06","S","Belgium",50.888121,4.307432,2013,12,20,0.06
"ERR1514992","ST405","≤0.06","S","Belgium",50.572523,5.567129,2013,12,16,0.06
"ERR1514993","ST405","≤0.06","S","Belgium",50.572523,5.567129,2013,12,17,0.06
"ERR1514995","ST15","≤0.06","S","Belgium",50.572523,5.567129,2014,6,17,0.06
"ERR1514996","ST405","≤0.06","S","Belgium",50.572523,5.567129,2014,1,10,0.06
"ERR1514997","ST405","≤0.06","S","Belgium",50.572523,5.567129,2014,1,20,0.06
"ERR1514998","ST405","≤0.06","S","Belgium",50.572523,5.567129,2014,1,27,0.06
"ERR1514999","ST29","≤0.06","S","Belgium",50.572523,5.567129,2014,3,18,0.06
"ERR1515000","ST405","0.12","S","Belgium",50.572523,5.567129,2014,3,18,0.12
"ERR1515001","ST405","≤0.06","S","Belgium",50.572523,5.567129,2014,3,29,0.06
"ERR1515003","ST221","≤0.06","S","Belgium",50.888121,4.307432,2014,1,31,0.06
"ERR1541259","ST1487","≤0.06","S","Belgium",50.651987,5.575025,2014,3,27,0.06
"ERR1541260","ST147","1","S","Belgium",50.572523,5.567129,2014,3,31,1
"ERR1541262","ST268","1","S","Belgium",50.834358,4.346697,2014,4,18,1
"ERR1541263","ST1942","1","S","Belgium",50.878576,4.674358,2014,4,17,1
"ERR1541265","ST405","2","S","Belgium",51.16188,4.149313,2014,3,4,2
"ERR1541266","ST11","1","S","Belgium",51.16188,4.149313,2014,3,12,1
"ERR1541277","ST4","≤0.06","S","Belgium",50.878576,4.674358,2014,5,17,0.06
"ERR1541281","ST101","32","R","Turkey",41.055651,28.999411,2014,1,24,32
"ERR1541282","ST14",">32","R","Turkey",41.055651,28.999411,2014,3,10,48
"ERR1541288","ST14",">32","R","Turkey",41.055651,28.999411,2014,2,13,48
"ERR1541289","ST14",">32","R","Turkey",41.055651,28.999411,2014,3,8,48
"ERR1541291","ST343","≤0.06","S","Turkey",41.055651,28.999411,2014,3,10,0.06
"ERR1541292","ST35","≤0.06","S","Turkey",41.055651,28.999411,2014,2,15,0.06
"ERR1541293","ST105","≤0.06","S","Turkey",41.055651,28.999411,2014,2,6,0.06
"ERR1541296","ST110","≤0.06","S","Turkey",41.055651,28.999411,2014,1,31,0.06
"ERR1541297","ST15","≤0.06","S","Turkey",41.055651,28.999411,2014,2,13,0.06
"ERR1541303","ST530","16","R","Turkey",36.894252,30.6519019,2013,11,14,16
"ERR1541304","ST147","2","S","Turkey",36.894252,30.6519019,2013,11,19,2
"ERR1541307","ST377","2","S","Turkey",36.894252,30.6519019,2013,12,2,2
"ERR1541309","ST345","≤0.06","S","Turkey",36.894252,30.6519019,2013,12,23,0.06
"ERR1541314","ST3676","≤0.06","S","Turkey",36.894252,30.6519019,2013,11,29,0.06
"ERR1541317","ST20","4","I","Turkey",39.708083,37.0315732,2013,12,3,4
"ERR1541318","ST1193","≤0.06","S","Turkey",39.708083,37.0315732,2013,12,3,0.06
"ERR1541319","ST1731","2","S","Turkey",38.704204,35.5242802,2013,11,17,2
"ERR1541322","ST147","2","S","Turkey",38.704204,35.5242802,2013,11,26,2
"ERR1541324","ST2442","2","S","Turkey",38.704204,35.5242802,2013,12,2,2
"ERR1541325","ST147","2","S","Turkey",38.704204,35.5242802,2013,12,26,2
"ERR1541327","ST101",">32","R","Turkey",38.704204,35.5242802,2013,12,31,48
"ERR1541330","ST101","0.12","S","Turkey",38.457955,27.2296148,2013,11,10,0.12
"ERR1541331","ST392","32","R","Turkey",38.457955,27.2296148,2014,1,3,32
"ERR1541332","ST101","32","R","Turkey",38.457955,27.2296148,2014,1,12,32
"ERR1541334","ST294","2","S","Turkey",38.457955,27.2296148,2013,11,17,2
"ERR1541335","ST395",">32","R","Turkey",38.457955,27.2296148,2014,1,10,48
"ERR1541336","ST294","4","I","Turkey",38.457955,27.2296148,2014,1,17,4
"ERR1541339","ST3677","≤0.06","S","Turkey",38.704204,35.5242802,2013,11,20,0.06
"ERR1541342","ST35","≤0.06","S","Turkey",38.704204,35.5242802,2013,12,30,0.06
"ERR1541343","ST405","≤0.06","S","Turkey",38.457955,27.2296148,2014,1,24,0.06
"ERR1541345","ST405","≤0.06","S","Turkey",38.457955,27.2296148,2014,1,12,0.06
"ERR1541347","ST3679","≤0.06","S","Turkey",38.457955,27.2296148,2014,1,7,0.06
"ERR1541348","ST36","≤0.06","S","Turkey",38.457955,27.2296148,2014,1,3,0.06
"ERR1541351","ST395",">32","R","Turkey",38.677888,39.2028581,2014,3,17,48
"ERR1541353","ST405","4","I","Turkey",38.677888,39.2028581,2014,3,7,4
"ERR1541357","ST3680","≤0.06","S","Turkey",38.677888,39.2028581,2014,1,18,0.06
"ERR1541358","ST336","≤0.06","S","Turkey",39.970171,32.833725,2013,11,29,0.06
"ERR1541362","ST37","≤0.06","S","Turkey",39.970171,32.833725,2013,11,16,0.06
"ERR1541363","ST16",">32","R","Turkey",39.970171,32.833725,2013,12,12,48
"ERR1541367","ST16","2","S","Turkey",39.970171,32.833725,2014,1,20,2
"ERR1541368","ST15","≤0.06","S","Turkey",39.970171,32.833725,2014,1,20,0.06
"ERR1541371","ST636","≤0.06","S","Turkey",39.970171,32.833725,2013,11,13,0.06
"ERR1541376","ST16","1","S","Turkey",39.970171,32.833725,2013,11,29,1
"ERR1541377","ST395","32","R","Turkey",37.0349699,37.3174882,2013,11,19,32
"ERR1541384","ST307","2","S","Turkey",37.0349699,37.3174882,2013,12,4,2
"ERR1541385","ST395",">32","R","Turkey",37.0349699,37.3174882,2013,12,17,48
"ERR1541387","ST17","≤0.06","S","Turkey",37.0349699,37.3174882,2014,1,22,0.06
"ERR1541390","ST882","≤0.06","S","Turkey",37.0349699,37.3174882,2014,3,5,0.06
"ERR1541396","ST29","≤0.06","S","Turkey",39.930103,32.86575,2013,11,6,0.06
"ERR1541402","ST200","≤0.06","S","Turkey",39.930103,32.86575,2013,11,19,0.06
"ERR1541403","ST985","≤0.06","S","Turkey",39.930103,32.86575,2013,12,3,0.06
"ERR1541408","ST15","≤0.06","S","Turkey",39.930103,32.86575,2013,11,24,0.06
"ERR1541410","ST160","≤0.06","S","Turkey",39.930103,32.86575,2014,2,16,0.06
"ERR1541411","ST35","≤0.06","S","Turkey",38.335778,38.316586,2013,11,19,0.06
"ERR1541418","ST1228","≤0.06","S","Turkey",38.335778,38.316586,2014,2,24,0.06
"ERR1541420","ST35","≤0.06","S","Turkey",38.335778,38.316586,2013,11,19,0.06
"ERR1541424","ST15","≤0.06","S","Turkey",38.335778,38.316586,2013,12,24,0.06
"ERR1541425","ST420","≤0.06","S","Turkey",38.335778,38.316586,2014,2,18,0.06
"ERR1541427","ST35","≤0.06","S","Turkey",38.335778,38.316586,2014,2,24,0.06
"ERR1541436","ST530","0.5","S","Turkey",40.7655446,29.9397065,2014,4,25,0.5
"ERR1541437","ST17","0.25","S","Turkey",40.7655446,29.9397065,2013,11,6,0.25
"ERR1541438","ST17","≤0.06","S","Turkey",40.7655446,29.9397065,2014,4,28,0.06
"ERR1541440","ST17","≤0.06","S","Turkey",40.7655446,29.9397065,2013,12,3,0.06
